State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,590,838,1.42,594,557,0.94,544,1023,1.88,537,1254,2.34,700,1167,1.67,1122,1365,1.22,838,422,0.5,703,974,1.39,405,360,0.89,423,439,1.04,412,597,1.45,337,845,2.51,341,451,1.32,403,965,2.39,345,689,2,302,479,1.59,324,565,1.74,186,1685,9.06,185,332,1.79,111,154,1.39,92,186,2.02,106,171,1.61,87,161,1.85
Total (Arhar/Tur),,590,838,1.42,594,557,0.94,544,1023,1.88,537,1254,2.34,700,1167,1.67,1122,1365,1.22,838,422,0.5,703,974,1.39,405,360,0.89,423,439,1.04,412,597,1.45,337,845,2.51,341,451,1.32,403,965,2.39,345,689,2,302,479,1.59,324,565,1.74,186,1685,9.06,185,332,1.79,111,154,1.39,92,186,2.02,106,171,1.61,87,161,1.85
2. Bajra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,643,560,0.87,359,259,0.72,310,335,1.08,303,337,1.11,809,887,1.1,2389,2621,1.1,3064,3361,1.1,1639,1823,1.11,1214,1490,1.23,1553,1725,1.11,3371,3769,1.12,2953,3322,1.12,3185,3631,1.14,1904,2167,1.14,2912,3302,1.13,2836,3213,1.13,2548,2892,1.14,3299,3741,1.13,2651,3006,1.13,2721,3086,1.13,3264,3701,1.13,1788,2038,1.14,1859,2119,1.14
Total (Bajra),,643,560,0.87,359,259,0.72,310,335,1.08,303,337,1.11,809,887,1.1,2389,2621,1.1,3064,3361,1.1,1639,1823,1.11,1214,1490,1.23,1553,1725,1.11,3371,3769,1.12,2953,3322,1.12,3185,3631,1.14,1904,2167,1.14,2912,3302,1.13,2836,3213,1.13,2548,2892,1.14,3299,3741,1.13,2651,3006,1.13,2721,3086,1.13,3264,3701,1.13,1788,2038,1.14,1859,2119,1.14
3. Barley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
